,Image Id,Genere,Image Path
0,tt0369610,"Action, Adventure, Sci-Fi",Movie_Poster_Dataset/2015/tt0369610.jpg
1,tt2395427,"Action, Adventure, Sci-Fi",Movie_Poster_Dataset/2015/tt2395427.jpg
2,tt2096673,"Animation, Adventure, Comedy",Movie_Poster_Dataset/2015/tt2096673.jpg
3,tt2820852,"Action, Crime, Thriller",Movie_Poster_Dataset/2015/tt2820852.jpg
4,tt2293640,"Animation, Comedy, Family",Movie_Poster_Dataset/2015/tt2293640.jpg
5,tt1951266,"Adventure, Sci-Fi",Movie_Poster_Dataset/2015/tt1951266.jpg
6,tt3659388,"Adventure, Drama, Sci-Fi",Movie_Poster_Dataset/2015/tt3659388.jpg
7,tt2379713,"Action, Adventure, Thriller",Movie_Poster_Dataset/2015/tt2379713.jpg
8,tt2381249,"Action, Adventure, Thriller",Movie_Poster_Dataset/2015/tt2381249.jpg
9,tt2848292,"Comedy, Music",Movie_Poster_Dataset/2015/tt2848292.jpg
10,tt1663202,"Adventure, Drama, Thriller",Movie_Poster_Dataset/2015/tt1663202.jpg
11,tt0478970,"Action, Adventure, Sci-Fi",Movie_Poster_Dataset/2015/tt0478970.jpg
12,tt2510894,"Animation, Comedy, Family",Movie_Poster_Dataset/2015/tt2510894.jpg
13,tt2322441,"Drama, Romance",Movie_Poster_Dataset/2015/tt2322441.jpg
14,tt2279373,"Animation, Adventure, Comedy",Movie_Poster_Dataset/2015/tt2279373.jpg
15,tt1398426,"Biography, Drama, History",Movie_Poster_Dataset/2015/tt1398426.jpg
16,tt2126355,"Action, Adventure, Drama",Movie_Poster_Dataset/2015/tt2126355.jpg
17,tt1392190,"Action, Adventure, Sci-Fi",Movie_Poster_Dataset/2015/tt1392190.jpg
18,tt1528854,Comedy,Movie_Poster_Dataset/2015/tt1528854.jpg
19,tt4516496,"Short, Action",Movie_Poster_Dataset/2015/tt4516496.jpg
20,tt2452042,"Animation, Adventure, Comedy",Movie_Poster_Dataset/2015/tt2452042.jpg
21,tt5026378,Documentary,Movie_Poster_Dataset/2015/tt5026378.jpg
22,tt1979388,"Animation, Adventure, Comedy",Movie_Poster_Dataset/2015/tt1979388.jpg
23,tt3079380,"Action, Comedy, Crime",Movie_Poster_Dataset/2015/tt3079380.jpg
24,tt3152624,"Comedy, Romance",Movie_Poster_Dataset/2015/tt3152624.jpg
25,tt3076658,"Drama, Sport",Movie_Poster_Dataset/2015/tt3076658.jpg
26,tt1964418,"Action, Adventure, Family",Movie_Poster_Dataset/2015/tt1964418.jpg
27,tt2561572,"Comedy, Crime",Movie_Poster_Dataset/2015/tt2561572.jpg
